f1 , f2 , f3 , f4
200,82,186,211
93,8,215,158
147,23,46,204
205,201,116,44
38,172,212,6
93,7,217,158
37,200,27,250
235,186,255,214
210,50,25,5
200,182,2,60
35,198,29,250
236,187,254,214
36,200,29,252
74,235,245,218
235,186,255,213
235,187,255,214
199,82,186,211
200,84,187,210
210,50,26,5
35,199,28,250
211,50,24,5
5,166,107,21
95,7,216,159
37,199,28,250
173,167,112,95
203,200,116,44
149,23,45,205
37,198,27,252
36,200,28,250
71,0,25,31
119,73,116,12
148,24,46,205
211,49,24,5
233,66,96,85
36,198,29,250
94,7,217,160
204,202,117,43
148,25,45,205
226,74,164,169
161,209,96,46
205,202,117,44
149,80,64,131
234,188,255,214
203,202,117,43
200,83,186,211
209,51,26,3
200,183,3,59
236,187,255,212
35,198,29,252
201,182,2,60
199,83,186,209
248,226,213,198
235,187,254,212
201,182,2,59
205,201,116,43
37,200,29,250
108,97,38,243
227,121,172,114
44,98,55,18
202,182,1,59
202,182,1,59
24,102,153,231
219,65,251,240
94,6,216,158
70,133,39,222
200,181,1,59
93,8,217,159
201,182,1,61
198,83,185,210
210,51,25,3
36,199,27,250
75,166,67,222
165,67,75,165
203,202,116,42
37,198,29,252
37,199,27,252
93,6,216,160
148,25,47,205
211,49,24,3
201,181,3,60
151,82,65,131
198,83,185,210
211,49,24,4
201,181,2,60
203,200,115,43
37,198,29,251
210,50,26,5
151,81,125,35
67,25,109,194
247,28,174,145
133,91,116,223
35,198,28,251
36,199,28,252
147,24,45,204
223,90,109,39
35,199,27,250
41,27,33,37
150,82,63,130
147,23,47,205
209,49,26,3
210,50,24,3
148,24,46,204
148,25,47,206
248,67,147,35
243,153,215,117
94,6,215,158
93,7,217,159
201,183,3,59
151,82,63,130
95,7,217,159
199,82,187,211
147,23,47,204
119,162,43,180
94,7,217,158
102,241,15,175
151,81,65,129
203,201,117,43
200,82,186,211
143,1,75,38
162,166,190,175
206,77,52,195
200,182,3,59
198,83,187,209
44,18,215,176
211,51,24,3
149,24,46,204
200,83,186,210
94,8,217,158
36,200,27,250
36,198,29,250
36,200,28,251
94,7,217,159
211,49,26,5
35,200,29,252
36,199,29,251
95,8,215,159
149,25,46,206
251,239,131,141
205,200,115,42
202,182,2,61
123,147,120,107
211,50,24,4
166,9,207,65
126,227,231,119
233,68,96,84
56,108,225,187
198,82,187,210
201,183,1,61
221,171,171,50
232,67,96,86
234,108,105,231
202,182,1,61
201,181,2,60
149,24,47,205
149,25,46,204
199,82,187,209
236,187,255,213
210,51,24,5
233,66,97,85
149,81,65,129
80,158,23,146
231,67,96,85
200,183,2,61
235,186,254,214
210,49,24,5
148,24,47,206
229,94,183,168
231,66,96,85
151,82,63,131
150,82,64,130
242,179,253,160
35,198,29,252
150,82,63,131
244,169,145,232
35,200,29,250
205,202,117,43
151,80,65,129
236,187,255,214
93,8,215,159
150,81,64,130
236,186,255,213
209,49,25,5
116,88,147,23
151,82,65,129
236,187,255,213
75,209,148,86
58,21,247,226
83,30,19,5
151,82,64,131
73,97,63,109
175,150,85,188
211,49,24,3
232,66,97,85
93,6,217,159
149,82,63,130
149,80,65,129
203,202,116,43
47,40,160,28
221,69,98,233
151,80,65,129
209,51,26,3
42,64,145,224
233,66,96,84
232,68,98,84
148,25,46,204
162,31,243,253
82,69,127,108
94,7,217,158
157,235,16,251
162,76,242,201
204,201,116,43
81,155,164,213
232,67,96,84
75,172,207,110
234,188,255,214
147,23,46,205
245,154,65,169
61,8,21,146
154,31,38,68
148,23,45,205
37,199,29,251
200,82,185,209
150,81,63,129
200,182,3,59
205,201,115,42
232,68,96,84
199,84,186,211
202,182,1,59
109,143,35,138
94,8,215,160
9,83,125,140
204,200,115,44
37,198,27,252
232,67,97,85
93,8,217,159
37,198,28,251
233,66,98,84
231,67,96,85
95,6,215,159
233,66,97,85
34,154,144,11
94,8,216,159
149,82,63,131
202,183,1,61
200,83,185,210
211,49,25,3
68,30,186,43
149,25,46,205
147,24,47,204
200,83,187,210
93,8,215,160
164,183,113,95
149,23,45,204
148,23,47,206
202,183,2,61
11,223,65,249
129,39,144,234
95,6,217,160
36,198,29,252
211,51,24,5
149,25,45,206
22,93,60,24
202,181,2,60
201,182,1,59
72,61,231,72
15,191,143,162
203,201,116,43
147,25,45,206
36,200,28,250
233,66,97,85
35,200,27,250
202,183,1,60
209,49,24,5
235,187,254,214
36,200,27,251
231,67,97,86
235,187,255,212
244,49,138,105
199,82,186,211
162,223,8,41
210,122,217,74
178,226,20,185
93,8,215,160
95,7,215,159
202,183,1,60
200,83,187,211
37,199,27,252
37,200,28,252
97,104,235,131
205,202,116,43
202,181,3,61
204,200,115,43
204,202,117,44
18,44,25,36
205,201,116,42
231,66,96,86
233,67,96,85
36,200,29,250
93,7,216,159
202,183,1,61
222,203,52,243
29,92,140,195
233,68,96,86
234,188,255,214
214,9,46,155
234,187,255,214
131,26,166,209
35,198,28,252
183,120,136,195
234,188,255,212
36,199,27,251
232,67,98,84
151,81,63,130
149,23,45,205
153,157,78,86
199,83,187,209
168,168,133,136
93,6,215,160
147,23,46,204
233,67,98,84
204,201,115,43
233,66,98,84
93,7,217,159
150,80,64,131
203,68,142,219
160,97,10,11
151,81,65,130
150,80,63,130
209,50,26,3
149,81,63,130
199,82,187,211
204,200,115,44
234,186,255,214
35,199,28,250
211,50,26,3
93,6,216,159
210,51,25,5
234,186,255,212
204,201,116,42
202,182,3,59
178,29,204,111
149,81,64,129
105,50,238,243
37,200,29,252
236,188,255,214
117,73,9,60
35,198,27,250
203,201,115,42
147,25,45,205
198,83,187,209
36,198,29,251
202,181,2,60
236,186,254,212
209,50,26,5
232,67,98,86
36,200,28,251
235,188,255,212
73,112,50,103
93,6,215,159
240,230,105,194
231,67,98,84
211,50,26,5
200,84,187,209
204,201,116,44
232,67,96,85
201,181,1,59
12,119,105,9
37,199,29,251
46,68,134,219
37,199,29,250
231,67,96,85
231,66,97,86
205,202,117,42
211,50,24,5
234,188,254,212
151,81,65,130
203,201,115,44
205,202,115,42
153,164,209,35
35,198,27,251
204,16,236,219
149,80,64,131
151,80,65,131
210,15,229,139
202,183,2,60
124,27,28,194
52,154,1,97
156,77,205,171
212,85,95,217
234,186,254,214
36,198,27,252
149,80,65,129
196,122,26,96
211,51,24,4
186,160,125,48
235,188,255,214
95,6,216,159
35,200,28,252
235,186,255,214
35,198,29,250
233,66,96,84
218,74,209,0
173,43,229,148
205,201,115,43
198,84,186,211
210,51,24,3
236,187,255,214
213,113,139,137
38,198,16,155
61,66,214,190
209,49,26,3
234,188,255,212
95,6,216,158
167,177,121,120
233,68,97,86
94,7,216,160
201,182,3,60
150,10,37,92
36,199,29,251
94,7,217,158
247,56,219,32
37,200,27,251
95,6,217,158
48,96,130,179
205,200,116,44
205,200,115,43
134,53,119,76
149,81,65,130
211,51,24,5
46,213,184,173
156,9,43,203
37,199,29,250
176,248,43,196
36,198,28,250
147,221,5,147
202,181,3,59
210,49,24,5
149,80,65,131
231,68,96,84
148,24,47,205
216,32,28,172
59,142,99,76
210,51,25,3
202,182,3,59
140,73,154,53
204,201,115,43
123,223,227,11
232,66,97,84
95,6,216,158
210,51,25,5
204,202,117,43
226,49,230,4
148,24,45,205
199,84,185,210
252,247,180,83
232,66,96,84
200,83,187,209
235,39,158,120
211,51,26,3
54,233,79,221
184,109,9,155
228,177,54,210
93,7,217,159
148,25,45,206
31,37,141,250
164,61,137,87
149,81,63,130
122,226,125,40
36,198,29,252
235,186,254,212
25,188,160,25
232,66,98,86
204,201,116,42
95,6,216,159
200,183,2,61
150,82,63,131
164,229,194,66
32,208,220,182
94,8,216,158
202,183,3,61
94,6,216,159
176,242,114,194
195,92,120,80
234,187,254,212
202,183,1,60
205,200,117,42
211,50,25,5
35,199,28,250
204,202,115,42
149,25,46,204
211,50,24,3
200,183,3,59
198,21,182,59
204,202,116,42
149,24,47,204
93,8,215,158
115,87,23,85
18,145,160,153
151,82,64,129
205,202,117,42
149,25,47,205
36,199,29,252
94,6,217,158
151,191,170,64
232,67,97,86
37,199,29,250
232,68,97,85
205,202,115,44
234,74,3,70
87,34,122,91
149,80,65,131
234,187,255,213
35,85,96,70
201,183,1,59
205,201,116,42
149,24,47,205
198,82,187,210
201,183,2,59
218,241,214,154
231,67,98,85
109,248,154,245
211,229,105,7
180,70,222,183
149,25,46,205
148,24,46,205
225,155,27,50
205,202,115,43
63,8,251,202
203,200,117,42
53,29,127,48
9,187,107,150
56,174,42,127
149,25,47,206
234,186,254,213
210,51,25,3
44,250,94,39
184,36,23,115
211,49,25,5
86,123,43,135
250,218,24,208
198,82,187,211
151,80,65,130
13,202,83,125
74,40,133,47
200,182,3,61
93,8,216,159
203,201,115,43
19,135,164,10
211,50,25,4
105,20,194,239
236,188,254,212
235,186,255,213
149,25,47,206
231,67,96,86
145,207,145,158
233,66,96,85
198,84,187,211
200,182,2,61
15,210,116,119
233,66,97,86
149,23,45,204
138,81,179,240
202,182,2,60
200,182,3,59
94,8,217,159
178,34,76,75
36,200,28,252
151,80,63,129
150,80,65,129
203,200,115,44
231,66,96,85
199,83,187,209
81,220,235,203
199,83,186,211
235,187,255,212
151,81,65,129
234,188,255,213
236,187,255,212
149,25,47,204
211,51,26,3
111,86,142,141
35,198,29,252
37,200,27,250
225,108,169,210
199,83,185,209
200,181,2,61
235,186,255,213
205,200,116,44
210,51,24,3
200,181,1,59
43,116,131,165
93,7,217,159
149,23,46,206
231,66,98,86
205,202,115,44
204,202,117,42
158,233,33,66
199,84,187,209
148,24,47,204
94,6,217,160
47,237,223,106
8,90,214,217
211,50,26,4
210,50,25,3
93,8,216,159
200,83,187,210
232,67,98,86
230,146,56,60
202,181,2,61
200,84,186,211
151,81,63,129
250,104,36,97
94,7,216,158
199,84,187,209
95,8,215,160
148,24,45,205
151,82,63,130
95,8,215,159
204,201,115,43
69,216,219,227
79,97,16,155
149,82,63,129
30,200,155,233
198,84,185,211
18,181,234,168
95,8,216,159
36,198,29,251
136,50,129,211
205,200,117,42
250,95,12,2
37,198,29,250
190,204,243,114
200,84,186,211
181,29,31,34
147,23,46,204
233,68,96,84
209,49,25,5
147,23,45,204
18,46,234,149
205,201,115,42
236,186,254,214
223,61,164,210
93,6,216,158
149,23,46,204
95,39,244,239
35,200,28,252
153,27,156,85
231,68,98,85
115,144,200,125
60,60,63,210
18,207,174,242
209,49,25,3
143,175,61,55
200,183,2,59
232,66,98,86
204,202,116,44
202,181,1,61
141,99,233,105
95,69,250,55
95,6,216,158
140,229,25,111
94,7,216,160
69,158,120,94
148,23,46,206
150,82,63,130
149,25,46,204
204,202,115,42
56,89,196,168
1,41,61,224
200,82,185,211
150,82,63,130
35,198,29,252
200,181,2,61
211,49,25,4
148,25,46,206
220,130,223,225
230,33,108,37
37,200,28,250
233,67,96,84
194,37,216,16
200,83,186,210
41,252,70,9
202,183,2,60
36,200,28,252
205,200,115,42
58,84,174,145
210,51,26,5
200,84,187,211
244,212,206,253
203,200,117,43
149,80,65,130
36,199,27,250
185,63,128,149
149,80,63,131
236,188,255,213
205,201,117,44
192,13,48,195
42,196,181,3
186,223,174,202
111,221,211,60
148,24,46,204
200,82,185,211
37,200,29,250
151,81,63,131
234,186,254,214
202,183,2,60
202,181,3,59
235,186,254,212
149,81,64,129
148,24,47,206
204,202,117,42
232,67,96,85
35,198,27,252
235,187,254,212
136,64,222,218
202,183,2,60
199,82,187,210
203,201,117,44
205,201,117,44
233,68,97,84
198,83,186,210
163,48,138,190
149,82,63,129
234,188,255,212
94,6,216,160
180,169,199,128
211,50,25,5
11,43,134,253
37,200,28,252
211,51,26,4
89,85,87,32
36,199,28,252
200,181,1,59
201,182,1,61
93,7,215,158
211,51,26,4
227,68,63,124
231,68,98,86
200,84,186,209
232,68,97,84
37,200,27,252
233,112,198,143
150,86,199,255
203,201,115,43
93,6,216,158
149,25,45,204
200,84,186,210
106,55,147,127
232,68,97,85
37,200,27,251
235,187,255,213
95,204,22,59
148,31,60,131
200,82,187,210
209,51,25,4
152,155,141,166
178,214,2,67
37,200,29,252
149,80,63,130
146,132,69,0
233,68,98,85
232,66,98,85
201,182,3,59
230,98,212,141
36,198,29,252
205,200,117,42
211,51,25,5
46,28,189,107
210,50,24,5
150,82,63,131
231,68,97,84
133,133,40,136
199,83,186,210
211,50,26,4
205,202,117,42
95,7,216,160
211,49,25,5
199,84,186,210
200,183,3,61
211,51,26,5
151,80,63,130
94,8,215,159
201,181,1,60
93,6,216,158
151,82,64,131
209,50,26,4
28,154,171,71
235,79,70,232
232,67,98,84
149,23,47,205
235,186,255,212
