Air Temperature,Humidity,Interval Rain,Wind Speed,Barometric Pressure,Solar Radiation,Battery Life
-2.5,70.0,0.0,3.3,1004.6,2.0,11.8
-3.5,68.0,0.0,3.3,1002.7,5.0,14.9
-2.4,69.0,0.0,2.6,1004.7,2.0,12.0
-3.0,66.0,0.0,3.3,1003.0,6.0,14.9
-2.3,68.0,0.0,2.7,1004.9,2.0,11.9
-2.78,65.0,0.0,3.3,1002.4,11.0,14.9
-1.9,68.0,0.0,1.8,1004.5,6.0,11.9
-2.89,66.0,0.0,3.3,1002.4,45.0,15.0
-1.9,70.0,0.0,2.0,1004.5,36.0,12.0
-3.0,66.0,0.0,3.3,1002.7,121.0,15.1
-1.9,69.0,0.0,2.8,1004.7,99.0,11.9
-2.89,65.0,0.0,3.3,1003.0,473.0,15.2
-2.1,68.0,0.0,2.8,1004.8,92.0,11.9
-3.28,65.0,0.0,3.3,1003.7,498.0,15.2
-2.5,69.0,0.0,3.2,1005.5,452.0,12.0
-3.67,66.0,0.0,3.3,1004.4,513.0,14.9
-2.9,71.0,0.0,3.0,1006.3,119.0,12.0
-4.0,66.0,0.0,3.3,1005.1,474.0,15.2
-3.1,70.0,0.0,3.8,1007.0,367.0,11.9
-4.56,71.0,0.0,3.3,1005.1,396.0,15.2
-3.7,73.0,0.0,4.0,1007.1,412.0,12.0
-4.89,71.0,0.0,3.3,1005.1,269.0,14.9
-3.9,73.0,0.0,2.6,1006.8,274.0,11.9
-4.67,71.0,0.0,3.3,1004.7,70.0,14.9
-3.8,75.0,0.0,3.3,1006.8,63.0,12.0
-4.78,70.0,0.0,3.3,1004.4,12.0,15.0
-3.7,74.0,0.0,2.6,1006.5,6.0,12.0
-4.5,74.0,0.0,3.3,1004.4,7.0,15.0
-3.7,77.0,0.0,2.4,1006.2,2.0,11.9
-4.28,75.0,0.0,3.3,1003.4,5.0,15.0
-3.8,77.0,0.0,1.5,1005.4,2.0,12.0
-4.39,73.0,0.0,3.3,1003.7,6.0,14.9
-3.6,76.0,0.0,3.4,1005.3,2.0,12.0
-4.5,74.0,0.0,3.3,1005.1,5.0,15.2
-3.6,78.0,0.0,2.5,1006.8,2.0,12.0
-5.56,80.0,0.0,3.3,1005.4,5.0,15.1
-4.7,81.0,0.6,2.5,1007.1,2.0,11.9
-5.0,67.0,0.0,3.3,1005.1,5.0,14.9
-3.7,68.0,0.0,2.8,1007.0,2.0,11.9
-4.28,60.0,0.0,3.3,1005.1,6.0,14.9
-3.6,59.0,0.0,2.3,1006.8,3.0,12.0
-4.56,59.0,0.0,3.3,1005.1,6.0,15.0
-3.7,61.0,0.0,3.2,1006.9,2.0,12.0
-5.06,57.0,0.0,3.3,1005.1,5.0,15.0
-4.0,61.0,0.0,2.6,1007.1,3.0,12.0
-5.5,53.0,0.0,3.3,1005.8,6.0,15.0
-4.4,59.0,0.0,2.9,1007.6,3.0,11.8
-5.67,53.0,0.0,3.3,1006.1,4.0,15.0
-4.5,59.0,0.0,1.9,1007.9,3.0,11.9
-5.89,56.0,0.0,3.3,1006.1,12.0,15.0
-4.6,58.0,0.0,1.6,1007.9,9.0,12.0
-6.0,54.0,0.0,3.3,1005.8,114.0,14.9
-5.1,58.0,0.0,1.4,1007.7,36.0,12.0
-6.06,54.0,0.0,3.3,1006.1,194.0,14.9
-4.9,61.0,0.0,3.2,1008.0,123.0,12.0
-6.06,57.0,0.0,3.3,1006.4,447.0,15.2
-5.2,65.0,0.0,3.1,1008.3,32.0,12.0
-6.5,64.0,0.0,3.3,1006.8,492.0,14.9
-5.1,69.0,0.0,3.2,1008.8,443.0,12.0
-6.39,66.0,0.0,3.3,1007.5,522.0,14.9
-5.4,70.0,0.0,2.8,1009.5,61.0,11.9
-6.78,67.0,0.0,3.3,1007.8,496.0,14.9
-5.7,68.0,0.0,3.4,1010.1,496.0,11.9
-7.17,63.0,0.0,3.3,1007.8,410.0,14.9
-5.7,64.0,0.0,2.6,1009.7,408.0,12.0
-8.17,59.0,0.0,3.3,1006.8,267.0,15.0
-6.7,61.0,0.0,1.0,1008.7,278.0,11.9
-9.56,58.0,0.0,3.3,1006.1,128.0,15.1
-7.3,57.0,0.0,1.8,1008.1,145.0,11.9
-10.06,56.0,0.0,3.3,1005.4,11.0,15.2
-8.4,57.0,0.0,1.9,1007.7,8.0,12.0
-9.89,53.0,0.0,3.3,1005.1,6.0,15.0
-8.3,56.0,0.0,0.9,1007.4,4.0,11.9
-9.5,52.0,0.0,3.3,1004.7,6.0,15.0
-7.5,55.0,0.0,1.8,1006.7,3.0,11.8
-7.5,60.0,0.0,3.3,1003.7,5.0,15.0
-6.5,62.0,0.0,1.8,1006.0,3.0,12.0
-6.78,58.0,0.0,3.3,1002.7,6.0,15.0
-5.9,61.0,0.0,5.8,1005.2,3.0,12.0
-6.39,54.0,0.0,3.3,1002.7,6.0,15.0
-5.2,57.0,0.0,3.3,1005.1,3.0,11.9
-5.17,54.0,0.0,3.3,1002.0,6.0,15.0
-4.3,58.0,0.0,6.6,1004.3,3.0,11.9
-4.5,47.0,0.0,3.3,1001.0,7.0,14.9
-3.5,55.0,0.0,7.1,1003.4,3.0,11.9
-3.78,47.0,0.0,3.3,1000.3,6.0,14.9
-3.1,53.0,0.0,6.4,1002.4,2.0,11.9
-3.39,50.0,0.0,3.3,999.3,7.0,14.9
-2.7,52.0,0.0,6.4,1001.9,3.0,11.9
-2.28,56.0,0.0,3.3,998.3,8.0,14.9
-1.6,59.0,0.0,9.5,1000.7,2.0,12.0
-1.39,56.0,0.0,3.3,997.6,6.0,15.1
-0.6,64.0,0.0,7.8,999.8,2.0,12.0
-0.67,65.0,0.0,3.3,996.6,6.0,15.2
-0.2,72.0,0.0,5.8,998.7,2.0,12.0
-0.56,73.0,0.0,3.3,995.6,5.0,14.9
0.0,76.0,0.0,6.0,997.3,2.0,12.0
0.17,74.0,0.0,3.3,993.9,10.0,14.9
0.9,81.0,0.0,3.9,995.6,5.0,11.9
0.5,79.0,0.0,3.3,992.2,33.0,15.2
1.6,78.0,0.0,3.7,994.1,18.0,11.9
3.17,59.0,0.0,3.3,990.5,33.0,15.1
4.3,61.0,0.0,3.1,992.0,31.0,12.0
3.06,63.0,0.0,3.3,989.5,53.0,15.1
4.0,66.0,0.0,1.6,991.2,29.0,12.0
3.06,65.0,0.0,3.3,988.8,110.0,14.9
3.9,69.0,0.0,2.9,990.5,52.0,11.9
3.3,73.0,0.0,3.0,989.6,196.0,11.9
2.6,77.0,0.0,3.0,989.0,108.0,11.9
1.7,81.0,0.0,5.0,987.9,62.0,11.9
1.6,80.0,0.0,3.1,986.4,54.0,12.0
1.0,77.0,0.0,3.3,983.1,37.0,15.2
1.6,81.0,0.0,3.1,984.7,28.0,11.9
0.0,82.0,0.0,3.3,981.7,8.0,15.2
0.9,84.0,0.2,2.9,983.4,3.0,11.9
-0.17,81.0,0.0,3.3,981.0,4.0,14.9
0.5,83.0,0.1,1.1,982.5,1.0,12.0
-0.39,82.0,0.05,3.3,979.7,6.0,14.9
0.3,83.0,0.5,4.0,982.0,1.0,11.9
-0.06,76.0,0.0,3.3,980.4,5.0,14.9
0.4,79.0,0.0,2.3,982.4,2.0,11.9
-0.56,76.0,0.0,3.3,981.0,7.0,14.9
0.1,78.0,0.0,3.4,982.5,1.0,12.0
-1.06,74.0,0.0,3.3,982.4,6.0,15.2
-0.1,76.0,0.0,3.4,983.7,1.0,12.0
-1.06,73.0,0.0,3.3,982.7,5.0,15.2
-0.4,75.0,0.0,3.7,984.4,2.0,12.0
-1.06,71.0,0.0,3.3,984.1,6.0,14.9
-0.4,73.0,0.0,3.6,986.1,2.0,12.0
-1.28,71.0,0.0,3.3,985.1,6.0,14.9
-0.6,72.0,0.0,2.1,986.9,2.0,11.9
-1.5,69.0,0.0,3.3,986.5,4.0,15.1
-0.7,72.0,0.0,2.1,988.1,2.0,11.9
-1.56,69.0,0.0,3.3,986.8,6.0,15.2
-0.9,71.0,0.0,2.2,988.6,2.0,11.8
-1.67,68.0,0.0,3.3,986.8,7.0,14.9
-0.9,70.0,0.0,1.0,988.7,2.0,11.9
-1.67,67.0,0.0,3.3,986.8,6.0,14.9
-0.7,69.0,0.0,1.5,988.8,2.0,12.0
-1.56,66.0,0.0,3.3,987.5,5.0,15.2
-0.5,67.0,0.0,1.2,989.5,2.0,12.0
-1.17,64.0,0.0,3.3,987.8,8.0,15.2
-0.1,66.0,0.0,2.1,989.7,4.0,12.0
-0.78,63.0,0.0,3.3,987.8,51.0,14.9
0.1,65.0,0.0,1.6,989.6,50.0,11.9
-0.78,62.0,0.0,3.3,987.8,128.0,14.9
0.3,64.0,0.0,2.4,989.8,121.0,11.9
-1.17,62.0,0.0,3.3,988.1,165.0,15.2
-0.1,63.0,0.0,2.0,989.8,159.0,12.0
-0.8,66.0,0.0,0.6,991.9,209.0,11.9
-1.7,67.0,0.0,0.0,993.3,147.0,12.0
-2.8,70.0,0.1,2.6,994.4,208.0,12.0
-3.6,70.0,0.0,1.5,995.8,34.0,11.9
-5.0,64.0,0.0,3.3,995.3,58.0,15.0
-3.4,65.0,0.0,1.3,997.2,53.0,11.9
-5.28,64.0,0.0,3.3,995.9,27.0,14.9
-4.1,64.0,0.0,1.5,997.7,18.0,11.9
-5.78,66.0,0.0,3.3,995.9,7.0,14.9
-4.0,65.0,0.0,2.5,997.9,4.0,11.9
-6.06,62.0,0.0,3.3,996.6,4.0,15.0
-4.4,62.0,0.0,2.1,998.7,3.0,12.0
-6.06,65.0,0.0,3.3,998.3,4.0,15.2
-4.1,60.0,0.0,1.7,1000.1,2.0,11.9
-5.89,65.0,0.0,3.3,999.3,6.0,14.9
-4.1,61.0,0.0,1.9,1001.2,3.0,12.0
-6.0,69.0,0.0,3.3,999.7,4.0,15.0
-4.1,66.0,0.0,1.1,1001.7,2.0,11.8
-5.89,70.0,0.0,3.3,1000.3,5.0,15.0
-4.2,67.0,0.0,1.5,1002.4,3.0,11.8
-5.67,64.0,0.0,3.3,1002.0,5.0,15.2
-3.9,68.0,0.0,1.6,1003.8,3.0,11.8
-5.5,63.0,0.0,3.3,1002.4,5.0,15.0
-3.5,63.0,0.0,1.3,1004.2,3.0,11.9
-5.5,61.0,0.0,3.3,1002.4,5.0,15.0
-3.6,62.0,0.0,0.7,1004.3,3.0,12.0
-5.39,58.0,0.0,3.3,1003.4,4.0,15.0
-3.7,63.0,0.0,0.5,1005.2,3.0,12.0
-4.78,58.0,0.0,3.3,1004.1,6.0,14.9
-2.2,62.0,0.0,1.9,1006.1,2.0,12.0
-4.0,63.0,0.0,3.3,1004.7,6.0,15.0
-2.4,67.0,0.0,0.7,1006.5,3.0,11.8
-3.89,63.0,0.0,3.3,1005.1,6.0,14.9
-2.2,62.0,0.0,1.5,1006.8,2.0,11.9
-3.06,60.0,0.0,3.3,1005.4,6.0,15.2
-2.2,62.0,0.0,1.7,1007.4,2.0,12.0
-3.17,62.0,0.0,3.3,1005.1,10.0,15.2
-2.5,70.0,0.0,1.2,1007.1,5.0,11.9
-3.39,67.0,0.0,3.3,1004.7,86.0,15.2
-2.7,71.0,0.0,1.8,1006.8,47.0,12.0
-3.5,68.0,0.0,3.3,1005.1,100.0,15.2
-2.8,73.0,0.0,3.3,1006.9,80.0,12.0
-3.89,68.0,0.0,3.3,1005.1,138.0,15.2
-2.9,72.0,0.0,3.8,1007.0,85.0,11.9
-4.0,67.0,0.0,3.3,1005.4,127.0,15.0
-3.3,73.0,0.0,3.1,1007.0,91.0,12.0
-4.39,68.0,0.0,3.3,1006.4,98.0,15.0
-3.3,74.0,0.0,4.2,1008.1,59.0,11.9
-4.28,70.0,0.0,3.3,1006.8,62.0,14.9
-3.4,75.0,0.0,1.3,1008.7,39.0,12.0
-4.39,69.0,0.0,3.3,1006.8,50.0,14.9
-3.7,73.0,0.0,1.9,1008.7,33.0,11.9
-4.5,67.0,0.0,3.3,1006.1,41.0,15.2
-3.8,74.0,0.0,2.6,1008.0,22.0,12.0
-4.67,68.0,0.0,3.3,1005.8,21.0,15.0
-4.0,74.0,0.0,2.6,1007.7,12.0,12.0
-4.67,67.0,0.0,3.3,1005.1,8.0,14.9
-3.4,71.0,0.0,0.8,1007.0,3.0,12.0
-5.0,67.0,0.0,3.3,1004.4,6.0,15.0
-3.8,70.0,0.0,1.9,1006.5,3.0,12.0
-5.39,66.0,0.0,3.3,1004.4,6.0,14.9
-3.9,68.0,0.0,1.0,1006.4,3.0,12.0
-5.78,66.0,0.0,3.3,1004.1,6.0,15.0
-3.8,69.0,0.0,1.0,1006.1,3.0,11.9
-5.39,67.0,0.0,3.3,1004.1,6.0,14.9
-2.5,71.0,0.0,3.7,1005.9,2.0,12.0
-3.67,67.0,0.0,3.3,1004.1,6.0,15.0
-2.7,70.0,0.0,4.5,1005.8,2.0,12.0
-4.06,65.0,0.0,3.3,1003.4,7.0,14.9
-2.8,71.0,0.0,4.3,1005.3,2.0,12.0
-3.78,68.0,0.0,3.3,1003.7,7.0,14.9
-2.9,71.0,0.0,3.7,1005.7,2.0,11.9
-4.0,66.0,0.0,3.3,1003.7,6.0,14.9
-3.0,70.0,0.0,4.4,1005.8,2.0,12.0
-4.0,67.0,0.0,3.3,1003.4,7.0,14.9
-3.0,72.0,0.0,5.7,1005.5,2.0,12.0
-3.39,65.0,0.0,3.3,1003.0,6.0,15.0
-2.6,66.0,0.0,3.8,1005.0,2.0,12.0
-3.89,63.0,0.0,3.3,1002.7,7.0,14.9
-3.1,64.0,0.0,3.7,1004.6,2.0,11.8
-3.78,63.0,0.0,3.3,1002.4,6.0,15.0
-2.6,70.0,0.0,5.8,1004.4,2.0,12.0
-3.0,66.0,0.0,3.3,1002.4,6.0,15.2
-2.1,70.0,0.0,4.3,1004.2,3.0,11.9
-2.67,66.0,0.0,3.3,1001.7,8.0,14.9
-2.0,70.0,0.0,5.5,1003.6,5.0,12.0
-2.5,69.0,0.0,3.3,1000.7,38.0,14.9
-1.5,75.0,0.0,5.4,1002.7,27.0,11.9
-2.39,72.0,0.0,3.3,1000.3,61.0,14.9
-1.8,75.0,0.0,4.7,1002.3,51.0,12.0
-2.78,69.0,0.0,3.3,1000.0,166.0,15.2
-2.0,76.0,0.0,4.4,1002.0,155.0,11.9
-3.39,72.0,0.0,3.3,1000.7,234.0,14.9
-2.6,75.0,0.0,4.2,1002.2,219.0,12.0
-3.28,69.0,0.0,3.3,1001.0,306.0,15.2
-2.6,62.0,0.0,0.5,1002.6,42.0,11.9
-4.0,69.0,0.0,3.3,1001.0,462.0,15.2
-3.1,68.0,0.0,3.1,1002.8,441.0,12.0
-5.0,67.0,0.03,3.3,1000.3,376.0,14.9
-3.6,71.0,0.0,3.7,1002.3,366.0,12.0
-5.0,66.0,0.03,3.3,1000.0,286.0,14.9
-3.6,68.0,0.0,2.3,1001.8,259.0,11.9
-6.06,69.0,0.0,3.3,999.3,135.0,14.9
-4.3,70.0,0.0,0.9,1001.2,30.0,11.9
-6.28,70.0,0.0,3.3,998.6,7.0,15.0
-4.1,71.0,0.0,2.8,1000.8,5.0,12.0
-6.39,70.0,0.0,3.3,999.0,6.0,15.0
-4.2,69.0,0.0,1.9,1000.6,2.0,12.0
-5.78,69.0,0.0,3.3,998.6,6.0,15.2
-3.8,68.0,0.0,1.8,1000.7,2.0,11.9
-4.89,66.0,0.0,3.3,998.6,4.0,14.9
-3.4,68.0,0.0,1.2,1000.6,2.0,12.0
-4.39,63.0,0.0,3.3,998.3,5.0,15.2
-3.1,65.0,0.0,0.0,1000.2,2.0,11.8
-4.5,64.0,0.0,3.3,998.6,4.0,15.2
-2.9,65.0,0.0,1.0,1000.7,3.0,11.9
-4.5,64.0,0.0,3.3,998.6,5.0,14.9
-2.8,65.0,0.0,0.6,1000.9,2.0,11.9
-4.28,64.0,0.0,3.3,999.0,4.0,15.0
-3.2,66.0,0.0,1.1,1001.0,2.0,11.8
-4.17,64.0,0.0,3.3,999.0,5.0,14.9
-3.0,66.0,0.0,0.0,1001.0,2.0,11.7
-3.78,63.0,0.0,3.3,998.6,4.0,15.2
-2.5,64.0,0.0,2.1,1000.8,2.0,12.0
-3.17,60.0,0.0,3.3,998.3,5.0,15.2
-2.3,67.0,0.0,1.4,1000.3,2.0,11.8
-3.17,61.0,0.0,3.3,998.3,5.0,15.0
-1.9,68.0,0.0,2.6,1000.3,2.0,12.0
-3.0,64.0,0.0,3.3,998.0,7.0,15.0
-1.8,67.0,0.0,1.3,999.8,2.0,11.9
-3.06,69.0,0.0,3.3,997.6,6.0,15.2
-1.8,69.0,0.0,1.5,999.4,2.0,11.9
-3.0,72.0,0.0,3.3,997.3,7.0,15.0
-1.6,70.0,0.0,1.7,998.9,3.0,12.0
-2.78,72.0,0.0,3.3,996.6,28.0,15.2
-1.5,71.0,0.0,1.2,998.4,14.0,12.0
-2.39,66.0,0.0,3.3,996.3,26.0,15.0
-1.3,69.0,0.0,1.4,998.1,18.0,12.0
-2.28,64.0,0.0,3.3,995.9,68.0,14.9
-1.4,70.0,0.0,0.9,997.8,57.0,12.0
-2.5,68.0,0.0,3.3,995.6,97.0,15.2
-1.5,72.0,0.0,1.5,997.6,47.0,11.9
-2.67,70.0,0.0,3.3,995.9,124.0,14.9
-1.5,73.0,0.0,1.9,997.9,102.0,11.8
-3.06,73.0,0.0,3.3,996.3,122.0,15.1
-1.9,76.0,0.0,0.6,998.3,100.0,11.9
-3.5,76.0,0.0,3.3,996.3,81.0,15.0
-2.4,77.0,0.0,0.0,998.1,56.0,11.9
-3.89,78.0,0.0,3.3,995.6,53.0,15.2
-2.8,79.0,0.0,0.6,997.7,38.0,12.0
-4.28,79.0,0.0,3.3,995.6,20.0,15.0
-3.1,80.0,0.0,1.6,997.7,11.0,12.0
-4.39,78.0,0.0,3.3,995.3,6.0,15.2
-3.3,80.0,0.0,1.8,997.2,2.0,12.0
-4.56,77.0,0.0,3.3,994.9,4.0,14.9
-3.7,79.0,0.0,1.0,997.1,2.0,12.0
-4.78,76.0,0.0,3.3,994.9,6.0,15.0
-3.7,77.0,0.0,1.2,997.0,2.0,11.9
-4.89,75.0,0.0,3.3,994.9,6.0,14.9
-3.8,76.0,0.0,1.1,997.0,2.0,11.9
-4.89,74.0,0.0,3.3,994.9,6.0,15.0
-3.9,75.0,0.0,1.5,996.9,2.0,12.0
-5.06,73.0,0.0,3.3,995.3,6.0,15.0
-3.9,74.0,0.0,2.0,997.1,2.0,12.0
-5.06,71.0,0.0,3.3,995.3,4.0,14.9
-4.0,73.0,0.1,2.2,997.3,2.0,12.0
-5.0,67.0,0.0,3.3,995.6,5.0,15.2
-3.9,68.0,0.0,1.9,997.5,2.0,12.0
-4.89,63.0,0.0,3.3,995.9,7.0,15.0
-3.7,64.0,0.0,1.0,997.9,2.0,12.0
-4.89,60.0,0.0,3.3,996.3,6.0,15.0
-3.8,62.0,0.0,1.0,998.3,3.0,11.9
-4.67,59.0,0.0,3.3,996.6,5.0,15.0
-3.5,60.0,0.0,2.0,998.9,2.0,11.9
-4.39,58.0,0.0,3.3,997.3,4.0,15.2
-3.0,59.0,0.0,0.7,999.1,2.0,11.9
-3.89,57.0,0.0,3.3,997.6,5.0,15.0
-2.5,60.0,0.0,2.8,999.6,2.0,11.8
-3.39,54.0,0.0,3.3,997.6,5.0,14.9
-2.2,57.0,0.0,0.9,999.6,2.0,11.9
-2.78,53.0,0.0,3.3,997.6,12.0,15.0
-1.8,57.0,0.0,1.7,999.7,6.0,11.9
-2.06,48.0,0.0,3.3,998.0,158.0,15.2
-1.5,53.0,0.0,1.2,1000.0,20.0,11.9
-1.67,44.0,0.0,3.3,998.3,303.0,14.9
-1.7,50.0,0.0,0.6,1000.3,27.0,11.9
-2.5,43.0,0.0,3.3,999.0,408.0,14.9
-1.8,47.0,0.0,1.6,1001.1,35.0,11.9
-2.5,44.0,0.0,3.3,1000.0,482.0,15.1
-1.4,47.0,0.0,1.9,1002.1,398.0,12.0
-3.06,51.0,0.0,3.3,1001.0,502.0,15.1
-2.4,57.0,0.0,0.8,1003.0,38.0,12.0
-3.78,52.0,0.0,3.3,1001.7,452.0,14.9
-2.8,58.0,0.0,2.2,1003.6,431.0,12.0
-5.17,54.0,0.0,3.3,1002.4,369.0,14.9
-4.1,59.0,0.0,1.6,1004.6,361.0,12.0
-6.28,59.0,0.0,3.3,1002.7,244.0,14.9
-4.5,60.0,0.0,2.4,1004.6,251.0,12.0
-7.78,64.0,0.0,3.3,1002.7,103.0,15.0
-5.0,62.0,0.0,1.6,1004.6,117.0,11.9
-8.28,67.0,0.0,3.3,1003.0,10.0,15.0
-5.9,64.0,0.0,3.0,1005.2,6.0,12.0
-8.28,65.0,0.0,3.3,1003.0,6.0,15.0
-5.2,63.0,0.0,2.8,1005.2,3.0,12.0
-8.39,65.0,0.0,3.3,1003.7,4.0,15.0
-5.8,64.0,0.0,1.7,1005.8,3.0,11.9
-8.17,65.0,0.0,3.3,1003.7,4.0,15.0
-5.8,65.0,0.0,1.6,1005.9,3.0,11.9
-7.56,65.0,0.0,3.3,1004.1,5.0,15.0
-5.7,65.0,0.0,1.2,1006.2,3.0,12.0
-7.67,65.0,0.0,3.3,1004.4,4.0,15.0
-5.8,65.0,0.0,1.1,1006.4,3.0,11.9
-7.17,64.0,0.0,3.3,1004.4,6.0,14.9
-5.4,65.0,0.0,0.6,1006.6,3.0,11.9
-6.67,62.0,0.0,3.3,1004.7,6.0,15.0
-5.0,64.0,0.0,2.4,1006.8,3.0,11.9
-6.28,62.0,0.0,3.3,1005.1,4.0,15.0
-4.8,64.0,0.0,1.1,1007.4,3.0,11.9
-6.06,62.0,0.0,3.3,1005.8,6.0,15.0
