f1,f2,f3,f4,f5,f6,f7,f8
30,238,47,161,201,248,15,80
196,80,54,48,154,33,100,80
150,137,170,228,232,174,121,233
19,201,95,251,34,215,123,118
210,123,150,223,171,53,1,181
235,19,60,223,240,214,191,138
176,253,141,97,189,45,233,253
201,144,75,4,170,12,146,254
164,245,134,213,21,255,174,219
238,49,103,225,243,124,152,26
84,112,126,77,11,175,176,219
98,17,161,136,134,155,234,25
30,44,116,184,236,126,189,8
8,108,186,98,99,181,187,236
203,204,119,129,93,131,54,186
163,165,111,215,223,20,18,4
0,235,56,35,112,250,213,40
74,241,161,196,73,253,55,107
180,198,17,242,94,15,125,77
71,201,199,126,239,23,127,174
105,246,44,198,4,4,4,89
200,190,240,110,177,15,164,82
2,73,90,64,208,106,86,130
70,81,6,144,127,232,90,174
35,114,195,203,229,34,194,66
199,242,172,215,195,50,159,234
44,186,139,125,29,77,179,247
136,122,181,248,221,241,197,182
15,94,209,138,78,173,133,53
28,217,77,101,220,73,134,235
68,17,124,186,145,47,86,163
121,66,178,23,101,124,105,227
93,43,20,121,81,114,100,226
108,121,89,131,216,253,150,4
87,6,13,73,218,75,140,112
75,176,111,154,110,216,174,193
210,206,59,0,87,64,13,83
244,43,1,157,219,140,5,46
93,14,25,240,119,235,20,154
102,187,189,23,151,196,94,74
95,222,165,135,97,218,252,3
252,215,229,80,128,13,20,75
34,15,111,127,150,32,126,106
117,229,232,50,236,148,55,66
254,93,119,238,255,174,71,231
121,236,141,92,80,57,165,236
78,9,78,97,138,81,32,46
255,180,17,98,140,178,149,90
169,64,201,186,74,116,127,128
30,238,219,145,35,255,191,34
174,225,27,216,42,213,131,73
164,172,91,94,60,182,85,62
216,233,168,191,126,211,48,34
16,185,96,226,213,201,136,87
100,191,243,112,113,99,143,78
45,154,117,160,21,229,160,215
144,166,86,206,125,73,161,229
146,168,138,223,7,221,212,155
106,219,82,236,15,111,184,32
197,198,140,39,210,125,44,95
61,121,16,13,139,166,14,19
243,135,196,98,241,255,147,251
87,63,53,179,25,155,17,107
30,41,242,247,90,143,130,98
59,11,231,55,18,218,149,239
153,87,44,240,158,109,34,183
86,169,221,97,108,161,140,173
49,2,140,136,7,204,191,66
36,238,44,117,203,19,253,169
43,192,93,248,153,25,231,54
161,23,213,189,2,122,2,22
169,203,136,8,247,26,168,63
199,217,92,36,132,103,222,14
44,126,45,1,47,4,104,13
62,119,38,93,38,62,30,38
237,25,194,213,2,80,139,73
64,156,201,157,120,99,34,174
208,72,230,33,91,210,169,162
90,73,207,156,177,170,67,114
204,217,185,106,17,138,144,107
241,99,71,105,117,184,149,84
132,121,51,146,27,171,190,186
186,163,169,61,4,20,74,42
221,119,203,19,80,255,252,153
71,6,175,204,12,92,139,118
191,43,6,165,102,39,121,187
134,33,228,156,142,186,53,139
130,25,15,149,53,8,94,192
114,227,51,43,154,132,171,77
244,152,104,216,88,104,221,176
75,247,46,214,123,208,98,116
144,204,151,183,6,191,204,94
17,70,223,79,67,116,165,166
49,211,141,96,157,246,71,204
81,93,91,188,217,97,222,9
159,4,170,76,186,152,178,106
106,251,63,173,15,232,197,54
164,199,186,210,217,102,148,244
49,156,247,117,122,142,17,216
62,214,250,2,184,116,91,109
86,252,59,140,245,105,143,63
141,229,196,161,2,59,64,144
219,147,156,223,26,139,254,201
213,142,201,241,174,251,118,121
246,136,204,254,86,88,172,140
84,89,70,251,130,28,53,225
121,107,38,61,80,83,196,246
148,4,46,237,77,50,86,119
34,48,117,177,98,58,95,5
186,231,181,185,247,120,247,174
52,158,0,164,132,160,39,185
227,119,215,191,196,50,80,18
57,160,164,26,122,111,177,194
59,5,18,29,149,13,196,64
201,202,156,196,240,117,61,207
252,24,225,28,102,4,163,39
66,223,145,150,97,38,92,248
190,80,47,73,132,84,146,228
139,26,105,152,187,5,191,14
95,132,97,104,69,108,57,36
132,178,247,91,223,59,243,191
5,218,74,237,195,32,154,211
223,77,19,249,167,13,212,28
4,61,168,137,171,68,70,102
210,107,4,102,131,76,1,126
81,219,195,213,109,61,247,225
55,181,8,74,35,128,213,142
106,175,136,74,145,37,188,22
235,188,251,154,239,55,243,158
131,50,205,91,160,164,25,144
78,191,205,133,231,120,218,97
198,96,102,158,32,119,50,31
237,241,145,28,69,69,180,218
10,57,52,54,165,84,57,126
82,124,169,128,14,9,5,42
240,49,45,126,30,245,149,151
159,72,225,184,30,237,209,254
139,158,83,22,39,8,248,248
2,220,181,150,134,182,239,190
69,249,98,179,71,254,127,56
225,189,86,192,169,237,247,79
147,216,233,38,67,143,203,224
210,26,236,241,234,187,54,245
195,255,248,163,211,186,57,69
118,180,69,6,95,35,190,195
113,127,21,87,41,0,168,164
233,49,57,221,238,102,165,38
143,231,1,193,172,118,118,178
247,254,133,14,144,106,101,173
248,157,142,58,184,251,198,117
142,41,131,194,68,115,173,3
19,24,73,76,45,81,128,14
106,177,192,37,83,203,98,52
39,226,225,101,53,54,98,244
17,38,29,12,150,172,81,116
226,196,95,116,215,121,5,85
64,234,128,40,7,235,190,21
188,142,219,136,5,141,11,134
27,149,37,165,161,249,207,197
229,211,218,54,177,11,93,127
97,118,241,159,86,22,76,70
198,90,135,87,143,155,83,236
249,92,14,181,156,162,70,46
34,117,240,172,170,99,36,182
241,218,248,250,14,217,163,172
226,101,34,120,22,97,180,135
89,197,45,57,196,34,174,61
110,53,27,167,187,70,143,89
49,68,176,139,229,187,104,125
144,132,69,137,139,42,58,118
164,241,74,57,116,61,219,146
244,63,202,92,189,180,55,30
170,29,67,111,86,3,170,59
229,2,245,188,57,227,24,49
95,235,254,52,250,184,31,9
172,159,131,147,204,72,32,212
123,114,0,19,34,172,93,10
188,224,151,109,57,170,188,6
41,42,58,133,24,253,58,195
221,73,19,73,17,203,27,234
37,142,5,129,141,29,142,178
17,101,216,65,78,238,176,123
39,29,67,76,71,60,44,137
99,219,164,184,141,97,248,240
144,10,252,132,142,134,21,74
15,28,52,179,174,98,225,203
212,85,73,189,176,145,216,90
35,88,2,0,134,172,28,60
39,115,104,115,20,137,151,70
99,46,132,216,146,118,213,7
61,15,22,119,246,219,118,0
225,10,24,185,172,56,159,169
248,62,218,251,67,195,150,140
19,146,40,248,64,219,123,154
111,179,241,176,23,247,38,254
137,243,242,105,94,248,238,73
246,209,75,168,193,88,87,51
62,127,231,31,198,122,50,179
162,94,35,194,34,86,139,251
102,25,62,219,236,237,178,244
216,33,110,104,126,119,217,54
227,89,13,168,106,165,5,201
179,9,66,206,146,105,138,70
228,134,29,89,137,54,245,42
151,173,40,70,120,48,182,220
188,212,223,88,238,79,176,173
133,109,195,192,209,79,238,134
143,68,218,75,197,89,73,7
252,243,129,107,245,136,21,5
72,152,185,55,78,228,120,23
231,115,105,6,190,120,192,8
115,183,61,199,88,255,216,49
58,194,80,153,173,211,33,223
203,182,62,249,186,148,43,140
145,217,36,59,48,6,170,21
197,234,235,159,104,192,116,135
219,101,179,170,214,241,110,199
187,220,180,171,122,17,152,110
115,127,200,65,147,42,185,247
120,223,70,63,93,194,28,236
49,45,196,253,54,18,127,144
89,179,139,139,255,209,176,12
43,185,41,160,204,143,235,25
151,215,198,213,226,101,100,188
17,237,100,177,173,210,89,209
139,67,102,76,75,178,69,100
97,45,198,119,150,69,180,228
129,220,182,159,72,0,59,6
206,29,76,129,132,2,24,17
22,170,222,2,7,51,248,186
23,54,160,105,142,240,92,16
108,188,46,93,78,241,233,139
103,224,24,197,146,22,213,138
24,103,218,47,72,12,165,250
175,85,42,132,171,224,39,194
32,40,108,72,92,165,147,202
154,24,148,242,54,227,143,81
227,65,51,94,233,98,0,194
174,243,12,230,180,197,146,161
35,244,4,68,72,201,199,27
79,152,184,137,143,161,240,107
156,62,151,35,214,148,7,38
151,155,203,231,205,73,43,42
70,13,174,200,249,19,45,157
240,145,19,172,26,151,71,218
229,165,120,29,217,223,142,30
233,98,119,8,247,194,195,227
14,87,105,17,217,192,105,106
41,254,197,199,123,251,216,248
144,100,47,75,193,99,244,130
167,133,92,66,234,228,158,27
230,117,64,247,93,33,17,112
11,110,7,33,241,251,148,209
130,188,201,188,35,28,170,245
51,223,131,188,17,193,197,196
39,189,154,134,159,74,144,7
19,189,44,38,40,204,158,126
168,75,156,58,94,161,16,179
168,131,217,175,179,204,95,240
212,78,162,61,142,58,191,86
1,225,85,44,151,22,241,223
114,81,111,144,68,223,155,84
29,26,178,65,243,242,25,91
235,160,92,143,237,93,40,124
92,237,249,190,75,72,18,47
28,120,229,229,127,120,197,78
131,134,170,229,93,197,160,137
27,31,213,127,190,2,63,164
70,223,213,188,116,252,131,24
185,129,74,25,184,118,147,81
22,228,50,49,56,161,218,132
103,18,148,138,212,229,210,26
210,63,46,143,45,131,88,89
20,243,215,121,129,13,253,244
179,80,189,197,182,153,70,70
4,20,247,62,213,167,103,32
174,154,53,57,2,198,249,184
23,118,36,8,79,119,42,204
59,76,20,73,171,39,97,22
72,212,91,183,190,48,240,26
14,220,12,252,63,198,130,120
167,180,227,101,224,106,243,110
20,133,41,39,235,4,253,74
132,169,19,38,120,4,187,50
156,94,120,36,103,205,33,121
43,183,174,55,103,157,172,99
38,147,139,104,24,207,11,68
247,57,178,100,87,179,27,52
158,220,161,167,122,23,4,80
121,201,120,211,173,117,100,120
82,135,225,145,4,249,32,106
64,29,126,133,181,250,126,60
179,255,109,230,150,224,115,35
51,20,28,162,97,170,64,240
55,191,247,34,205,175,31,208
43,121,178,226,149,170,176,29
141,201,96,171,250,230,132,160
62,66,44,171,254,182,136,138
163,141,133,137,232,108,45,49
218,173,202,212,179,235,182,198
153,64,175,62,52,188,193,123
223,75,129,93,79,176,196,52
14,84,240,246,155,222,252,130
114,203,96,170,174,44,169,190
11,3,141,233,77,121,118,43
51,66,85,27,38,118,34,118
2,13,56,113,144,177,163,22
144,232,47,193,179,203,19,87
232,184,51,1,73,203,8,159
145,78,16,176,203,166,226,84
10,199,122,163,21,181,105,137
8,176,41,7,201,169,255,216
221,104,59,112,205,131,40,38
134,140,131,107,199,185,6,115
115,0,107,202,21,195,249,126
15,35,214,82,243,74,247,245
30,203,186,215,53,58,241,54
235,79,146,19,214,194,114,141
37,85,122,219,217,108,69,111
62,110,212,194,116,39,224,120
93,49,208,249,104,141,168,144
124,248,155,151,118,74,227,199
251,80,203,85,226,244,118,117
128,178,184,78,250,154,251,161
108,43,30,115,216,179,118,233
138,71,160,233,113,208,54,31
203,246,15,170,32,134,175,145
231,250,154,89,35,221,231,147
52,110,200,93,187,161,252,162
246,208,44,105,173,210,222,43
151,201,84,13,68,179,28,221
246,196,214,84,214,212,86,201
146,39,163,185,149,138,143,11
111,33,93,66,49,3,160,202
53,110,238,12,5,35,107,41
108,179,115,119,77,3,161,4
244,35,138,99,77,195,141,137
72,4,51,143,203,167,248,4
185,56,109,47,135,57,197,145
197,76,244,210,59,202,80,89
123,189,217,16,233,74,74,149
143,126,52,150,153,203,145,222
44,49,177,131,161,182,133,1
252,140,191,214,185,243,96,160
84,97,209,133,144,195,53,240
236,55,248,21,220,199,33,233
148,102,47,211,149,8,191,210
0,153,41,18,120,83,193,9
197,108,162,150,227,132,79,105
86,143,48,60,31,83,143,231
229,90,30,42,203,38,40,67
125,93,236,103,60,138,126,236
73,59,65,228,3,0,222,228
224,254,155,103,22,29,45,31
203,168,26,193,89,16,103,77
81,75,65,224,56,77,124,242
103,109,245,42,43,98,81,75
55,231,143,168,119,163,182,203
27,129,218,14,40,228,101,201
225,145,76,142,120,196,198,223
249,204,75,204,176,27,33,11
176,160,239,181,78,255,38,194
40,169,29,97,179,196,101,39
100,10,144,28,168,18,55,77
160,229,147,165,57,73,104,108
115,29,197,204,248,98,103,61
239,117,174,192,74,241,35,77
153,200,245,61,188,187,30,38
214,163,208,115,203,39,187,235
47,234,160,241,233,150,100,41
138,249,30,8,109,94,232,132
0,255,241,118,62,108,90,6
83,71,121,190,118,78,148,27
169,129,185,252,147,74,152,17
174,131,180,96,19,249,38,13
199,209,245,57,2,5,11,255
174,255,22,38,157,253,255,0
125,192,159,248,245,26,228,224
52,246,202,153,178,36,240,114
135,248,196,116,199,220,23,41
65,195,233,220,6,50,209,185
169,133,162,137,207,166,82,240
118,211,58,32,139,153,189,117
157,136,116,76,237,6,236,169
23,198,133,5,208,86,243,43
186,176,239,114,180,121,22,52
205,214,34,49,241,103,120,180
27,253,179,95,110,93,195,58
28,158,112,88,80,92,247,159
163,20,217,90,224,122,141,70
255,32,183,151,209,85,31,192
243,106,19,192,15,204,23,206
240,213,116,173,221,159,103,244
173,188,93,176,156,5,5,230
132,120,89,8,78,44,245,108
192,176,228,144,222,182,215,135
141,140,172,127,0,171,235,215
78,104,149,32,75,242,110,187
186,128,124,74,210,118,74,95
235,84,159,93,169,152,176,68
96,199,76,33,200,47,106,15
200,211,65,176,42,214,97,88
117,253,189,46,143,238,77,221
192,51,218,174,166,192,21,156
118,42,210,211,192,20,29,207
182,72,140,241,94,207,52,118
90,22,129,0,6,95,178,44
147,235,219,211,143,82,77,153
221,134,53,250,212,51,168,99
104,167,159,107,31,182,97,146
141,162,190,12,41,196,231,199
36,194,228,27,49,186,164,100
45,61,239,31,182,104,189,168
160,89,12,116,18,234,176,46
127,223,2,55,201,32,164,240
47,34,39,52,179,219,57,206
75,240,64,230,22,182,90,206
62,116,165,78,92,179,105,92
169,204,171,58,247,198,100,222
21,208,128,127,36,21,77,224
37,3,182,131,98,141,102,23
175,113,241,50,53,121,176,158
192,215,38,57,100,14,53,156
35,36,193,230,154,65,254,152
131,37,10,100,5,226,69,173
243,221,62,236,216,175,200,155
23,75,41,95,179,125,119,128
248,210,228,178,58,150,95,132
93,149,225,15,197,215,114,34
26,110,74,66,32,29,35,3
183,16,113,109,200,172,227,239
52,107,222,146,55,178,215,91
41,168,18,231,111,43,130,86
237,95,3,153,201,0,82,85
3,57,241,13,72,61,168,175
197,226,135,33,116,157,216,127
62,221,54,217,115,10,24,89
235,34,151,67,235,85,60,185
88,128,64,134,53,57,139,65
119,151,249,141,247,84,48,167
119,201,160,100,241,93,36,87
161,237,9,32,142,77,132,199
168,221,249,14,151,87,198,199
161,95,221,254,54,146,239,99
44,87,94,101,64,78,62,4
70,243,155,145,244,249,163,91
19,110,73,70,79,170,193,18
25,174,16,19,117,45,105,164
17,73,69,139,216,178,114,4
220,113,104,86,117,36,27,107
216,17,51,9,91,20,96,77
100,38,205,148,209,56,73,101
159,96,191,120,19,227,20,154
208,30,28,170,118,15,112,243
147,187,135,242,140,189,222,87
42,244,150,129,236,119,63,49
197,88,227,147,81,235,184,83
227,1,245,13,210,187,205,86
186,36,208,255,222,137,40,138
229,8,244,71,250,4,223,77
134,217,27,102,233,254,8,62
206,248,149,142,73,74,125,79
254,92,76,194,173,110,222,231
51,14,112,9,104,111,222,167
183,67,83,230,130,227,229,129
185,35,129,18,252,140,12,244
121,83,88,71,77,122,154,249
168,218,116,60,20,31,56,57
52,248,183,78,106,190,176,99
164,115,200,81,101,90,237,191
86,189,57,35,198,47,63,60
119,111,148,66,214,248,6,71
9,140,162,133,25,10,236,139
61,160,209,74,214,222,1,132
81,50,20,87,251,247,141,83
10,195,74,235,151,216,222,162
156,118,142,29,131,230,3,246
161,144,54,163,219,65,31,157
205,219,26,126,188,151,226,16
177,163,213,102,128,129,169,124
38,151,158,172,52,31,9,189
110,255,98,169,149,99,117,126
171,226,77,94,126,168,13,251
148,21,118,212,242,156,35,220
34,77,58,83,240,103,233,194
146,62,69,166,92,234,216,127
23,244,255,11,46,33,5,252
66,238,68,103,140,109,233,88
10,230,141,55,217,220,237,238
72,195,179,186,137,172,19,251
0,51,166,5,241,217,191,177
227,40,22,176,172,66,251,106
216,61,97,192,237,26,187,158
106,238,84,211,98,47,144,107
77,82,197,179,198,145,88,230
90,216,69,55,14,104,24,33
194,250,75,184,209,119,79,237
200,113,102,188,99,191,4,29
82,81,219,151,9,86,8,143
35,15,42,3,222,87,176,89
15,98,44,197,169,244,70,50
228,195,186,30,90,151,192,81
125,94,96,251,131,239,241,59
196,201,45,63,250,12,87,92
80,64,153,202,155,200,5,114
184,79,184,201,10,143,14,237
170,100,74,124,220,109,4,93
160,42,193,240,40,150,144,205
111,220,171,35,158,155,150,28
75,212,63,107,9,161,91,125
134,147,250,101,72,119,43,86
28,194,225,164,232,255,251,245
97,69,153,50,19,155,14,153
53,186,90,73,33,119,69,94
154,18,38,109,11,93,35,141
181,67,35,200,49,230,255,254
61,180,230,104,247,148,253,142
90,192,212,212,161,14,237,193
28,27,19,86,241,3,83,22
118,59,12,114,209,75,104,216
206,159,223,246,94,140,69,24
190,183,29,229,109,231,234,196
249,79,107,93,54,210,195,34
61,105,253,246,115,153,105,117
78,230,145,2,34,205,135,128
164,21,127,173,11,77,94,250
18,47,250,176,139,186,228,247
140,40,111,45,135,230,107,95
103,67,133,75,58,40,180,196
51,182,240,99,158,5,183,124
42,122,163,137,179,203,34,222
173,94,100,125,164,15,40,51
173,223,91,127,184,88,156,199
12,199,34,100,170,209,102,244
82,212,176,151,29,173,243,216
162,61,154,42,159,139,239,7
55,249,204,239,166,66,164,16
92,131,175,69,39,81,252,153
11,127,159,219,114,59,244,128
62,184,45,137,68,61,158,234
187,217,134,195,213,76,218,44
253,99,57,220,234,201,201,152
170,182,142,172,157,150,147,71
149,130,63,68,185,254,90,85
159,246,65,114,95,50,63,164
93,70,181,220,7,19,27,154
150,12,199,217,90,139,123,106
69,150,29,241,69,8,74,217
173,87,242,121,104,112,180,227
203,3,14,168,54,66,227,18
113,47,211,188,48,12,239,174
97,79,66,240,231,78,110,247
246,81,219,88,68,215,151,15
165,252,22,52,166,118,255,110
4,61,25,131,154,199,51,177
107,110,165,217,50,193,77,213
227,207,54,179,4,233,246,131
89,92,173,183,109,221,241,44
100,145,76,94,149,210,98,109
54,73,104,97,128,230,35,216
217,247,203,254,172,144,33,66
61,195,94,213,171,211,6,148
206,110,248,232,191,136,243,207
49,202,90,67,164,82,137,150
103,206,210,164,40,229,0,71
252,48,79,96,91,223,43,138
121,92,225,135,126,133,179,69
100,71,187,67,220,124,195,211
46,227,242,173,183,67,73,180
212,87,152,209,95,141,135,127
121,207,186,240,140,101,22,96
211,157,53,112,144,181,178,240
146,26,102,64,113,91,110,162
216,146,31,31,50,148,1,176
121,159,232,203,255,67,70,203
46,219,37,24,123,190,206,251
88,127,197,190,116,40,142,237
71,28,93,244,204,30,83,28
35,36,218,132,141,90,71,91
66,51,93,22,163,74,212,122
16,68,70,225,75,203,49,204
83,212,213,37,223,101,107,172
7,11,76,255,31,76,24,167
44,34,79,158,6,216,116,8
26,28,144,77,121,239,65,213
179,118,132,230,120,4,76,16
107,244,2,184,128,241,75,36
227,94,245,167,228,239,112,37
93,37,201,156,177,58,8,166
214,241,81,221,204,50,73,137
149,146,85,73,19,168,147,8
238,215,154,15,207,41,203,135
89,228,155,41,15,179,98,201
197,147,84,14,241,9,220,49
100,12,29,133,50,174,226,102
183,27,116,214,134,222,196,34
156,132,126,68,57,31,57,194
116,184,151,200,22,172,203,132
151,141,73,68,83,52,213,53
49,28,84,98,223,41,200,87
196,218,33,36,92,51,71,38
84,154,161,121,240,233,91,225
215,67,75,239,216,136,186,88
48,125,134,168,211,66,13,184
175,187,59,229,255,205,37,27
226,158,145,58,78,208,21,31
182,12,115,98,188,154,121,71
134,80,131,5,228,200,79,198
16,214,64,130,254,129,239,48
118,167,175,0,36,185,81,190
224,93,165,88,70,97,120,246
216,181,125,195,190,238,12,55
224,104,199,250,155,188,203,156
58,16,114,232,213,30,71,159
27,250,223,158,0,132,210,128
17,107,111,173,92,113,250,161
92,79,187,79,237,43,26,66
215,233,76,47,127,201,152,51
254,210,200,202,99,46,183,99
88,97,164,67,200,99,34,141
69,247,176,58,86,165,60,5
110,37,76,229,142,47,146,250
57,13,161,37,129,30,113,217
213,229,86,184,105,7,97,72
16,205,58,88,60,175,117,122
118,65,47,31,37,17,216,208
200,55,145,91,104,176,54,156
139,120,88,41,240,69,42,77
172,193,194,140,86,189,152,166
58,56,58,46,168,68,235,126
39,40,205,148,175,50,102,25
1,157,66,23,6,179,32,245
119,53,156,83,33,84,215,128
77,151,131,84,132,50,176,84
242,8,63,44,30,175,214,24
131,153,234,43,10,80,53,39
152,235,61,199,190,102,70,118
129,199,58,31,254,242,243,126
178,48,103,91,235,177,157,241
212,208,36,155,123,218,72,121
201,176,17,196,238,70,125,85
33,142,8,121,47,176,86,116
32,167,245,39,46,180,190,28
236,242,115,9,220,53,107,67
217,18,236,178,186,9,55,53
105,173,69,204,199,221,37,81
158,178,46,159,193,172,148,154
168,119,97,33,29,215,160,176
157,208,205,98,90,150,122,25
249,144,252,169,182,111,17,81
80,76,216,194,161,206,163,23
235,173,205,174,23,95,37,90
211,55,253,116,178,146,8,120
166,179,80,180,90,85,46,138
81,143,210,21,146,87,11,136
245,248,20,80,102,107,147,66
12,33,110,109,8,46,84,168
218,60,171,227,252,50,122,237
128,40,211,56,143,8,42,163
236,67,4,241,86,204,192,25
63,146,15,18,185,74,134,84
150,25,44,60,121,65,108,141
80,195,88,29,244,150,94,41
199,121,106,140,98,185,79,151
85,142,93,222,57,162,187,34
182,153,72,4,113,86,163,6
227,63,118,50,251,158,36,149
211,85,206,109,211,89,247,88
40,133,8,213,50,140,39,243
125,104,212,167,119,110,206,133
147,24,153,82,134,253,80,9
238,230,192,29,143,140,46,225
161,118,120,234,81,12,40,101
109,10,90,188,234,202,107,78
5,70,146,234,232,147,121,219
23,143,108,67,221,89,21,14
152,158,184,167,208,219,39,10
175,188,68,181,50,108,139,162
149,122,178,62,42,88,232,252
132,95,113,200,169,49,33,200
204,98,51,112,62,234,157,73
27,161,118,179,80,33,104,252
80,230,233,9,42,185,229,224
106,160,173,87,14,234,244,237
21,162,111,56,213,87,144,235
162,42,165,23,69,145,249,1
106,206,227,184,225,27,114,74
190,237,53,223,190,152,26,133
105,79,192,165,73,241,245,47
248,216,213,230,92,18,246,43
217,28,147,240,242,100,15,216
167,101,114,243,105,38,203,238
188,80,200,19,85,85,122,75
61,16,225,7,234,114,128,92
52,134,72,126,188,137,2,2
118,145,165,172,166,72,210,33
49,58,83,236,116,208,245,80
134,254,234,73,216,162,189,7
248,185,131,38,193,79,69,232
105,232,162,172,156,106,250,76
221,186,215,113,135,109,171,218
125,21,83,77,182,177,240,188
126,15,115,128,68,56,212,167
90,163,135,242,101,128,239,113
89,149,166,230,125,23,27,165
23,182,60,145,51,151,44,201
166,188,60,191,0,201,173,183
59,247,252,57,54,78,81,143
28,149,124,86,188,204,167,165
